,hits@1,hits@3,hits@10,hits@50,hits@100
/film/film/edited_by,0.46153846153846156,0.7692307692307693,0.9230769230769231,0.9230769230769231,1.0
/film/film/edited_by_inv,0.0,0.23076923076923078,0.38461538461538464,0.6153846153846154,0.7692307692307693
/film/film/estimated_budget./measurement_unit/dated_money_value/currency,0.9668874172185431,0.9933774834437086,1.0,1.0,1.0
/film/film/estimated_budget./measurement_unit/dated_money_value/currency_inv,0.052980132450331126,0.11258278145695365,0.19205298013245034,0.4966887417218543,0.695364238410596
/film/film/executive_produced_by,0.4520547945205479,0.6164383561643836,0.7397260273972602,0.8356164383561644,0.8904109589041096
/film/film/executive_produced_by_inv,0.273972602739726,0.3835616438356164,0.5342465753424658,0.6986301369863014,0.7397260273972602
/film/film/featured_film_locations,0.23,0.38,0.53,0.74,0.82
/film/film/featured_film_locations_inv,0.05,0.09,0.17,0.34,0.44
/film/film/film_art_direction_by,1.0,1.0,1.0,1.0,1.0
/film/film/film_art_direction_by_inv,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0
/film/film/film_festivals,0.5,0.7777777777777778,0.8888888888888888,1.0,1.0
/film/film/film_festivals_inv,0.05555555555555555,0.16666666666666666,0.3333333333333333,0.5,0.7222222222222222
/film/film/film_format,0.7692307692307693,1.0,1.0,1.0,1.0
/film/film/film_format_inv,0.02564102564102564,0.02564102564102564,0.1282051282051282,0.3333333333333333,0.4358974358974359
/film/film/film_production_design_by,0.4,0.5,0.7,0.9,0.9
/film/film/film_production_design_by_inv,0.1,0.2,0.3,0.6,0.6
/film/film/genre,0.3878116343490305,0.631578947368421,0.8462603878116344,0.9847645429362881,0.9986149584487535
/film/film/genre_inv,0.05955678670360111,0.12188365650969529,0.2409972299168975,0.4584487534626039,0.5789473684210527
/film/film/language,0.6878980891719745,0.8121019108280255,0.9076433121019108,0.9936305732484076,0.9936305732484076
/film/film/language_inv,0.041401273885350316,0.37579617834394907,0.5191082802547771,0.7070063694267515,0.7388535031847133
/film/film/music,0.22826086956521738,0.3695652173913043,0.5217391304347826,0.8586956521739131,0.9239130434782609
/film/film/music_inv,0.13043478260869565,0.20652173913043478,0.34782608695652173,0.5108695652173914,0.5760869565217391
/film/film/other_crew./film/film_crew_gig/crewmember,0.15384615384615385,0.4230769230769231,0.6923076923076923,0.9230769230769231,0.9230769230769231
/film/film/other_crew./film/film_crew_gig/crewmember_inv,0.07692307692307693,0.11538461538461539,0.23076923076923078,0.34615384615384615,0.4230769230769231
/film/film/other_crew./film/film_crew_gig/film_crew_role,0.5627062706270627,0.8184818481848185,0.966996699669967,1.0,1.0
/film/film/other_crew./film/film_crew_gig/film_crew_role_inv,0.019801980198019802,0.0429042904290429,0.13366336633663367,0.43234323432343236,0.6006600660066007
/film/film/personal_appearances./film/personal_film_appearance/person,0.09090909090909091,0.2727272727272727,0.45454545454545453,0.5454545454545454,0.5454545454545454
/film/film/personal_appearances./film/personal_film_appearance/person_inv,0.2727272727272727,0.2727272727272727,0.36363636363636365,0.7272727272727273,0.8181818181818182
/film/film/prequel,0.5,0.7777777777777778,0.9444444444444444,1.0,1.0
/film/film/prequel_inv,0.6666666666666666,0.8333333333333334,1.0,1.0,1.0
/film/film/produced_by,0.48333333333333334,0.5833333333333334,0.7,0.8166666666666667,0.85
/film/film/produced_by_inv,0.23333333333333334,0.43333333333333335,0.5666666666666667,0.65,0.6833333333333333
/film/film/production_companies,0.47619047619047616,0.6547619047619048,0.8452380952380952,0.9761904761904762,0.9880952380952381
/film/film/production_companies_inv,0.19047619047619047,0.34523809523809523,0.5119047619047619,0.7023809523809523,0.7261904761904762
/film/film/release_date_s./film/film_regional_release_date/film_regional_debut_venue,0.35,0.55,0.8,0.95,0.95
/film/film/release_date_s./film/film_regional_release_date/film_regional_debut_venue_inv,0.05,0.25,0.35,0.45,0.7
/film/film/release_date_s./film/film_regional_release_date/film_release_distribution_medium,0.9810126582278481,1.0,1.0,1.0,1.0
/film/film/release_date_s./film/film_regional_release_date/film_release_distribution_medium_inv,0.04430379746835443,0.0949367088607595,0.14556962025316456,0.4177215189873418,0.6392405063291139
/film/film/release_date_s./film/film_regional_release_date/film_release_region,0.4105044920525225,0.6392536281962682,0.8541810642709053,0.9944713199723566,0.9993089149965446
/film/film/release_date_s./film/film_regional_release_date/film_release_region_inv,0.15480304077401522,0.2985487214927436,0.4968901174844506,0.824464409122322,0.9302004146510021
/film/film/runtime./film/film_cut/film_release_region,0.0,0.2222222222222222,0.7777777777777778,1.0,1.0
/film/film/runtime./film/film_cut/film_release_region_inv,0.0,0.0,0.0,0.3333333333333333,0.4444444444444444
/film/film/story_by,0.4838709677419355,0.5806451612903226,0.6451612903225806,0.9032258064516129,0.9032258064516129
/film/film/story_by_inv,0.16129032258064516,0.2903225806451613,0.4838709677419355,0.6774193548387096,0.8064516129032258
/film/film/written_by,0.11538461538461539,0.2692307692307692,0.46153846153846156,0.5384615384615384,0.6153846153846154
/film/film/written_by_inv,0.15384615384615385,0.23076923076923078,0.3076923076923077,0.46153846153846156,0.5384615384615384
/film/film_distributor/films_distributed./film/film_film_distributor_relationship/film,0.1625,0.23125,0.325,0.4875,0.59375
/film/film_distributor/films_distributed./film/film_film_distributor_relationship/film_inv,0.31875,0.5125,0.7875,0.9875,0.99375
/film/film_set_designer/film_sets_designed,0.0,0.0,0.25,0.625,0.75
/film/film_set_designer/film_sets_designed_inv,0.125,0.625,0.875,1.0,1.0
/film/film_subject/films,0.07792207792207792,0.1038961038961039,0.19480519480519481,0.3246753246753247,0.42857142857142855
/film/film_subject/films_inv,0.2077922077922078,0.4025974025974026,0.5974025974025974,0.7922077922077922,0.8311688311688312
/film/person_or_entity_appearing_in_film/films./film/personal_film_appearance/type_of_appearance,1.0,1.0,1.0,1.0,1.0
/film/person_or_entity_appearing_in_film/films./film/personal_film_appearance/type_of_appearance_inv,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
/film/special_film_performance_type/film_performance_type./film/performance/film,0.0,0.18181818181818182,0.18181818181818182,0.2727272727272727,0.5454545454545454
/film/special_film_performance_type/film_performance_type./film/performance/film_inv,0.6363636363636364,1.0,1.0,1.0,1.0
/food/food/nutrients./food/nutrition_fact/nutrient,0.47619047619047616,0.8666666666666667,0.9714285714285714,1.0,1.0
/food/food/nutrients./food/nutrition_fact/nutrient_inv,0.7428571428571429,0.9142857142857143,0.9904761904761905,1.0,1.0
/government/government_office_category/officeholders./government/government_position_held/jurisdiction_of_office,0.07692307692307693,0.2967032967032967,0.46153846153846156,0.7362637362637363,0.8351648351648352
/government/government_office_category/officeholders./government/government_position_held/jurisdiction_of_office_inv,0.6703296703296703,0.8351648351648352,0.989010989010989,1.0,1.0
